CommitNumber;Entity;Method;Change
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.getName();MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.addTask(Task);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.addDependency(String);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.getDependencies();MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.execute();MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Task.setProject(Project);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Task.copyFile(String,String);MODIFIED
81346cf26d502642547946eac98a6dddd332250b;METHOD;org.apache.tools.ant.taskdefs.Tstamp.init();MODIFIED
7745b4e4a6dff35c66f359bf53f5237e8b39a670;METHOD;org.apache.tools.ant.taskdefs.FixCRLF.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.setProperty(String,String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.setUserProperty(String,String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.addOrReplaceTarget(String,Target);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.createTask(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.translatePath(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.toBoolean(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Project.Project(PrintStream,int);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.ProjectHelper.configureTasks(Project,Target,Element);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Target.setCondition(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.Target.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Copydir.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Copyfile.setSrc(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Copyfile.setDest(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Copyfile.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Java.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Java.setClasspath(String);MODIFIED
