Max features;Max depth;Min samples leaf;Min samples split;Accuracy
log2;70;1;0.00992412464637;0.9777606706013172
sqrt;50;5;0.0314058374803;0.9777606706013172
log2;90;1;0.000587206796047;0.9777606706013172
log2;60;3;0.00364114041918;0.9777606706013172
None;70;5;0.0330065416863;0.9777606706013172
None;80;3;0.0344175386763;0.9777606706013172
log2;None;5;0.000910956698335;0.9776751347190146
log2;60;3;0.0141570958911;0.9775895988367119
log2;None;5;0.00382817845858;0.9775040629544094
sqrt;80;1;0.00769058292515;0.9775040629544094
sqrt;80;3;0.00266176954925;0.9775040629544094
None;60;4;0.0380367158758;0.9774185270721066
sqrt;30;3;0.0456885104606;0.9773329911898041
log2;60;4;0.0220600729132;0.9773329911898041
log2;60;4;0.00217323846378;0.9773329911898041
None;40;5;0.0344109481962;0.9773329911898041
None;30;1;0.0368786282133;0.9773329911898041
None;60;3;0.0374178503293;0.9772474553075016
log2;90;2;0.0250592273159;0.9772474553075016
sqrt;70;2;0.0394723853888;0.9771619194251988
log2;100;1;0.00112944896458;0.9771619194251988
log2;30;4;0.0173066205161;0.9771619194251988
None;50;4;0.035002877077;0.9771619194251988
sqrt;70;5;0.0253459738942;0.9770763835428963
log2;20;2;0.000365773521608;0.9770763835428963
sqrt;100;3;0.0413303269714;0.9769908476605936
sqrt;60;2;0.0215944199855;0.976905311778291
None;70;1;0.0330296307607;0.9768197758959883
log2;30;3;0.0373683964927;0.9768197758959883
log2;80;2;0.0162936270361;0.976648704131383
log2;100;1;0.000161254924974;0.976648704131383
None;60;4;0.0834050229149;0.9765631682490805
sqrt;None;4;0.0729565177713;0.9765631682490805
log2;20;4;0.0346428738283;0.976477632366778
None;10;1;0.0434740415629;0.976477632366778
sqrt;50;5;0.000312449749746;0.9763920964844752
log2;70;3;0.0202940831882;0.9763920964844752
log2;10;1;0.0537673909837;0.9763065606021727
log2;100;3;0.0607454148696;0.9763065606021725
log2;100;2;0.033418290117;0.97622102471987
sqrt;60;1;0.0914573886864;0.9761354888375674
log2;80;3;0.0568352489762;0.9761354888375674
sqrt;90;5;0.0952372129275;0.9760499529552646
None;40;4;0.0756633651294;0.9758788811906595
None;None;5;0.0748235604058;0.9758788811906595
sqrt;30;5;0.0604104210673;0.9758788811906595
sqrt;None;4;0.0839310128619;0.9758788811906595
sqrt;30;1;0.088383538503;0.9757933453083568
log2;40;5;0.0817313174223;0.9757078094260542
None;80;1;0.059046821695;0.9756222735437516
log2;100;4;0.0224910793917;0.9756222735437516
log2;80;5;0.0601864397593;0.9755367376614489
log2;30;2;0.0580914123081;0.9754512017791463
sqrt;20;3;0.0349605821456;0.9753656658968438
log2;None;3;0.0154536366177;0.9753656658968438
log2;50;4;0.0411333563809;0.9752801300145411
log2;40;3;0.0399760360271;0.9751945941322383
log2;40;5;0.0536567058818;0.9751090582499359
None;None;3;0.0716553171521;0.9751090582499359
sqrt;10;5;0.0356751752813;0.974852450603028
sqrt;20;1;0.0462351860592;0.9747669147207253
