Max features;Max depth;Min samples leaf;Min samples split;MCC
sqrt;10;4;0.000419901535941;0.17234073654003398
None;70;1;0.0310101430868;0.16942058907775412
None;90;5;0.0294489129037;0.16942058907775412
log2;30;1;0.0176548062374;0.16920478578227796
sqrt;60;3;0.000396695299252;0.1657065698271047
log2;60;4;0.000520310480222;0.1639089265375567
sqrt;50;2;0.00565682233446;0.16038787714971112
log2;80;4;0.00631429463711;0.15866076294169584
log2;10;2;0.000829176284615;0.15095739465828195
sqrt;100;4;0.00961077623214;0.14812180141664166
log2;None;4;0.0150076948407;0.14728423279167535
None;60;5;0.0513220028411;0.14565025219033909
log2;None;3;0.0820235917983;0.14565025219033909
None;30;5;0.0444622744562;0.14565025219033909
sqrt;40;2;0.00195295800685;0.14277757564527097
log2;90;4;0.00246974437076;0.13966288484836797
sqrt;90;2;0.094231371932;0.13904117349142753
sqrt;10;2;0.0358297912486;0.13825134165530695
sqrt;80;3;0.00947053140016;0.13666676129729793
sqrt;60;5;0.047081162278;0.133751067989432
None;60;4;0.0472848750967;0.13074667558212186
None;None;4;0.048933703166;0.13074667558212186
sqrt;70;4;0.0251279890948;0.13040172990505794
log2;40;3;0.0504572527695;0.12256305809577686
sqrt;10;1;0.026742678222;0.11119109445769083
log2;30;5;0.0445238280238;0.09894969474700528
